,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
196,Place Desjardins,45.507113700000005,-73.56362179999998,Kyo Bar Japonais,45.505333969651154,-73.5578300904796,Japanese Restaurant
197,Place Desjardins,45.507113700000005,-73.56362179999998,Pho Bac 97,45.507959320493796,-73.5598234864264,Vietnamese Restaurant
198,Place Desjardins,45.507113700000005,-73.56362179999998,biirū,45.505104900801804,-73.56886654760454,Japanese Restaurant
199,Place Desjardins,45.507113700000005,-73.56362179999998,A&W Canada,45.507352,-73.564992,Fast Food Restaurant
200,Place Desjardins,45.507113700000005,-73.56362179999998,Tim Hortons,45.5090828445073,-73.56490977108484,Café
201,Place Desjardins,45.507113700000005,-73.56362179999998,Taverne F,45.507532,-73.566713,Portuguese Restaurant
202,Place Desjardins,45.507113700000005,-73.56362179999998,Restaurant Amigo 168,45.508052292453314,-73.55979823228414,Chinese Restaurant
203,Place Desjardins,45.507113700000005,-73.56362179999998,Marius,45.5093462557708,-73.56430306801514,Café
204,Place Desjardins,45.507113700000005,-73.56362179999998,Chez Chili,45.5076749016971,-73.56037459530828,Chinese Restaurant
205,Place Desjardins,45.507113700000005,-73.56362179999998,A&W,45.505387,-73.567974,Fast Food Restaurant
206,Place Desjardins,45.507113700000005,-73.56362179999998,La Maison du magret,45.505497237178005,-73.55828404426573,French Restaurant
207,Place Desjardins,45.507113700000005,-73.56362179999998,La Popessa,45.50563087531956,-73.55840188842278,Italian Restaurant
208,Place Desjardins,45.507113700000005,-73.56362179999998,Copper Branch,45.5043441555744,-73.56540075751174,Vegetarian / Vegan Restaurant
209,Place Desjardins,45.507113700000005,-73.56362179999998,Blumenthal,45.50678500959093,-73.56658135357951,Restaurant
210,Place Desjardins,45.507113700000005,-73.56362179999998,Banh Mi Hoang Oanh,45.50839209941251,-73.5605621303886,Vietnamese Restaurant
211,Place Desjardins,45.507113700000005,-73.56362179999998,Café Capucine,45.50412542147414,-73.5625665677027,Café
212,Place Desjardins,45.507113700000005,-73.56362179999998,Pho Thanh Long,45.511038242204926,-73.56275774369365,Vietnamese Restaurant
213,Place Desjardins,45.507113700000005,-73.56362179999998,Restaurant Basilic,45.50708463981722,-73.56083491837468,Asian Restaurant
214,Place Desjardins,45.507113700000005,-73.56362179999998,Pho Cali,45.50794553069691,-73.55960163385484,Vietnamese Restaurant
215,Place Desjardins,45.507113700000005,-73.56362179999998,Ong Ca Can,45.510706772477974,-73.56303159040763,Vietnamese Restaurant
216,Place Desjardins,45.507113700000005,-73.56362179999998,Tong Sing,45.50831969668375,-73.55937089853508,Dim Sum Restaurant
217,Place Desjardins,45.507113700000005,-73.56362179999998,Ruby Rouge,45.50752523392157,-73.55988839918163,Chinese Restaurant
218,Place Desjardins,45.507113700000005,-73.56362179999998,Restaurant Fung Shing,45.508727246701184,-73.56111305588529,Chinese Restaurant
219,Place Desjardins,45.507113700000005,-73.56362179999998,Fisshu Sushi,45.50450251216376,-73.56859318866728,Sushi Restaurant
220,Place Desjardins,45.507113700000005,-73.56362179999998,Dobe & Andy's,45.507118603807776,-73.56128153180977,Chinese Restaurant
221,Place Desjardins,45.507113700000005,-73.56362179999998,Zen Ya,45.504340075566226,-73.56833062002413,Sushi Restaurant
222,Place Desjardins,45.507113700000005,-73.56362179999998,Mon Shing,45.5070516,-73.5607104,Chinese Restaurant
223,Place Desjardins,45.507113700000005,-73.56362179999998,Oh! Dumplings,45.50769744397099,-73.5603470042627,Chinese Restaurant
224,Place Desjardins,45.507113700000005,-73.56362179999998,Keung Kee,45.50739219853108,-73.56052806624072,Chinese Restaurant
225,Place Desjardins,45.507113700000005,-73.56362179999998,Restaurant Ethan,45.50733073687052,-73.56053173674617,Chinese Restaurant
226,Place Desjardins,45.507113700000005,-73.56362179999998,Daylight Factory,45.50295965379066,-73.56301956392093,Restaurant
